id,county,name,type,location,name_of_good,price_of_good,notes,pre_post,date,time,temp,weather,duration,no_cases,case_rate,neg_rate,geo_id,pop_total,hours
store_30,wood,walmart,grocery,rural,chp_chkn,3.37,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,exp_chkn,5.34,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,potatoes,0.88,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,onions,68,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,apples,1.27,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,oranges,0.63,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,milk,1.69,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,chp_bttr,2.94,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,exp_bttr,5.98,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,yogurt,1.74,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,chp_eggs,1.28,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,exp_eggs,5.74,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_30,wood,walmart,grocery,rural,soda,0.33,,post,5.29.20,1600,64,cloudy,24,10,1.369881779,3149,55141011400,72999,16
store_29,adams,county_mkt,grocery,rural,chp_chkn,4.69,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,exp_chkn,4.99,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,potatoes,1,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,onions,1.29,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,apples,1.59,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,oranges,0.89,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,milk,3.39,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,chp_bttr,3.19,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,exp_bttr,7.99,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,yogurt,2.49,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,chp_eggs,0.95,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,exp_eggs,4.45,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_29,adams,county_mkt,grocery,rural,soda,0.5,,post,5.29.20,1500,62,cloudy,35,4,1.978239367,3303,55001950400,20220,15
store_8,monroe,walmart,grocery,rural,chp_chkn,1.99,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,exp_chkn,3.13,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,potatoes,0.88,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,onions,0.78,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,apples,1.27,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,oranges,0.63,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,milk,1.48,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,chp_bttr,2.94,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,exp_bttr,5.98,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,yogurt,1.74,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,chp_eggs,1.18,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,exp_eggs,4.67,,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_8,monroe,walmart,grocery,rural,soda,0.84,1.68/2L,post,5.18.20,1700,62,cloudy,60,15,3.243032884,3355,55081950100,46253,17
store_12,monroe,caseys,liquor,rural,jack_daniels,24.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,smirnoff,12.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,absolut,19.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,chp_vodka,7.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,chp_scotch,18.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,exp_scotch,64.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,franzia,15.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,barefoot,6.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,miller_lite,10.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,spotted_cow,8.99,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_12,monroe,caseys,liquor,rural,lagunitas,,,post,5.18.20,1800,62,cloudy,60,15,3.243032884,3355,55081950500,46253,18
store_23,waushara,pns,grocery,rural,chp_chkn,1.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,exp_chkn,7.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,potatoes,0.69,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,onions,0.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,apples,1.29,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,oranges,0.69,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,milk,2.59,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,chp_bttr,3.29,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,exp_bttr,6.69,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,yogurt,2.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,chp_eggs,1.49,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,exp_eggs,3.99,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_23,waushara,pns,grocery,rural,soda,0.44,,post,5.31.20,1200,66,sunny,60,8,3.272920673,4220,55137960800,24443,12
store_14,polk,dicks_mkt,grocery,rural,chp_chkn,1.23,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,exp_chkn,7.8,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,potatoes,0.99,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,onions,2.69,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,apples,1.99,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,oranges,1.99,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,milk,3.39,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,chp_bttr,2.79,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,exp_bttr,3.49,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,yogurt,2.89,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,chp_eggs,1.29,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,exp_eggs,2.59,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_14,polk,dicks_mkt,grocery,rural,soda,0.99,,post,5.27.20,1200,70,cloudy,80,17,3.882785556,2619,55095960800,43783,12
store_17,iowa,walmart,grocery,rural,chp_chkn,1.99,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,exp_chkn,7.84,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,potatoes,0.62,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,onions,0.62,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,apples,0.76,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,oranges,0.63,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,milk,2.39,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,chp_bttr,2.94,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,exp_bttr,3.97,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,yogurt,1.74,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,chp_eggs,1.26,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,exp_eggs,4.67,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_17,iowa,walmart,grocery,rural,soda,0.67,,post,5.27.20,1400,81,sunny,85,12,5.067995608,3196,55049950400,23678,14
store_19,jackson,walmart,grocery,rural,chp_chkn,1.99,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,exp_chkn,4.44,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,potatoes,0.88,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,onions,0.78,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,apples,1.27,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,oranges,0.63,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,milk,2.89,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,chp_bttr,2.94,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,exp_bttr,5.98,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,yogurt,1.74,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,chp_eggs,1.28,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,exp_eggs,4.67,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_19,jackson,walmart,grocery,rural,soda,0.67,,post,5.26.20,1300,82,cloudy,60,14,6.781959986,5015,55053960100,20643,13
store_15,st_croix,econo_fds,grocery,rural,chp_chkn,2.99,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,exp_chkn,4.29,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,potatoes,0.99,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,onions,1.29,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,apples,1.79,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,oranges,1.5,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,milk,2.69,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,chp_bttr,3.49,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,exp_bttr,7.69,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,yogurt,2.99,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,chp_eggs,1.99,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,exp_eggs,2.79,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_15,st_croix,econo_fds,grocery,rural,soda,0.99,,post,5.27.20,1300,70,cloudy,90,71,7.829126556,2813,55109120401,90687,13
store_1,dane,pns,grocery,urban,chp_chkn,2.99,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,exp_chkn,4.49,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,potatoes,0.79,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,onions,0.99,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,apples,1.29,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,oranges,0.69,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,milk,2.19,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,chp_bttr,3.29,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,exp_bttr,5.69,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,yogurt,2.99,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,chp_eggs,1.39,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,exp_eggs,5.99,,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_1,dane,pns,grocery,urban,soda,0.45,.89/2,pre,5.16.20,1400,68,sunny,50,519,9.493410403,3433,55025010100,546695,14
store_2,dane,woodmans,grocery,urban,chp_chkn,2.2,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,exp_chkn,2.49,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,potatoes,0.79,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,onions,0.79,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,apples,0.99,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,oranges,0.4,2.00/5,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,milk,1.89,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,chp_bttr,1.99,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,exp_bttr,5.49,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,yogurt,2.19,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,chp_eggs,0.99,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,exp_eggs,5.09,,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_2,dane,woodmans,grocery,urban,soda,0.45,.89/2L,pre,5.16.20,1500,70,sunny,48,519,9.493410403,3433,55025000408,546695,15
store_3,dane,walmart,grocery,urban,chp_chkn,1.96,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,exp_chkn,3.4,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,potatoes,,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,onions,,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,apples,,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,oranges,,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,milk,2.37,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
store_3,dane,walmart,grocery,urban,chp_bttr,2.94,,pre,5.16.20,1500,70,sunny,30,519,9.493410403,3433,55025000410,546695,15
